year,author,title,average_rating,image_url,text
2002,Lian Hearn,"Across the Nightingale Floor (Tales of the Otori, #1)",4.06,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Across the Nightingale Floor (Tales of the Otori, #1) Lian Hearn"
2005,"Stephen Hawking, Leonard Mlodinow",A Briefer History of Time,4.19,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"A Briefer History of Time Stephen Hawking, Leonard Mlodinow"
1986,Richard Dawkins,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design Richard Dawkins
2002,Nora Roberts,"Face the Fire (Three Sisters Island, #3)",4.15,https://images.gr-assets.com/books/1330175555m/59822.jpg,"Face the Fire (Three Sisters Island, #3) Nora Roberts"
2010,Ronald H. Balson,Once We Were Brothers,4.28,https://images.gr-assets.com/books/1376835596m/17834834.jpg,Once We Were Brothers Ronald H. Balson
2016,"Emily Bleeker, Dan John Miller",When I'm Gone,3.94,https://images.gr-assets.com/books/1465938298m/27401883.jpg,"When I'm Gone Emily Bleeker, Dan John Miller"
2004,Dean Koontz,Life Expectancy,3.98,https://images.gr-assets.com/books/1308458308m/16435.jpg,Life Expectancy Dean Koontz
2008,Cinda Williams Chima,"The Dragon Heir (The Heir Chronicles, #3)",4.14,https://images.gr-assets.com/books/1304657191m/2866413.jpg,"The Dragon Heir (The Heir Chronicles, #3) Cinda Williams Chima"
2010,Ellen Hopkins,"Fallout (Crank, #3)",4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Fallout (Crank, #3) Ellen Hopkins"
1999,Patricia Cornwell,"Black Notice (Kay Scarpetta, #10)",3.85,https://images.gr-assets.com/books/1388461944m/123598.jpg,"Black Notice (Kay Scarpetta, #10) Patricia Cornwell"
2016,Emma Donoghue,The Wonder,3.65,https://images.gr-assets.com/books/1463229441m/28449257.jpg,The Wonder Emma Donoghue
2006,Alison Weir,Innocent Traitor,3.94,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Innocent Traitor Alison Weir
2001,John Irving,The Fourth Hand,3.3,https://images.gr-assets.com/books/1375776688m/4656.jpg,The Fourth Hand John Irving
1998,Dennis Lehane,"Gone, Baby, Gone (Kenzie & Gennaro, #4)",4.14,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Gone, Baby, Gone (Kenzie & Gennaro, #4) Dennis Lehane"
2000,Darren Shan,"Tunnels of Blood (Cirque Du Freak, #3)",4.14,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Tunnels of Blood (Cirque Du Freak, #3) Darren Shan"
1999,Kristin Hannah,On Mystic Lake,3.95,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,On Mystic Lake Kristin Hannah
1999,Iris Johansen,"The Killing Game (Eve Duncan, #2)",4.18,https://images.gr-assets.com/books/1314902885m/78131.jpg,"The Killing Game (Eve Duncan, #2) Iris Johansen"
2014,Michelle Hodkin,"The Retribution of Mara Dyer (Mara Dyer, #3)",4.14,https://images.gr-assets.com/books/1417969205m/15768409.jpg,"The Retribution of Mara Dyer (Mara Dyer, #3) Michelle Hodkin"
2005,Rachael Ray,Rachael Ray 365: No Repeats: A Year of Deliciously Different Dinners,3.68,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Rachael Ray 365: No Repeats: A Year of Deliciously Different Dinners Rachael Ray
2008,Augusten Burroughs,A Wolf at the Table,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A Wolf at the Table Augusten Burroughs
1987,Orson Scott Card,"Seventh Son (Tales of Alvin Maker, #1)",3.86,https://images.gr-assets.com/books/1327295457m/40290.jpg,"Seventh Son (Tales of Alvin Maker, #1) Orson Scott Card"
1988,Michael Chabon,The Mysteries of Pittsburgh,3.63,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,The Mysteries of Pittsburgh Michael Chabon
2006,James L. Swanson,Manhunt: The 12-Day Chase for Lincoln's Killer,4.12,https://images.gr-assets.com/books/1344193262m/146274.jpg,Manhunt: The 12-Day Chase for Lincoln's Killer James L. Swanson
2009,Cecelia Ahern,The Book of Tomorrow,3.66,https://images.gr-assets.com/books/1276970678m/6631792.jpg,The Book of Tomorrow Cecelia Ahern
2011,Ally Carter,"Uncommon Criminals (Heist Society, #2)",4.15,https://images.gr-assets.com/books/1298155996m/10327303.jpg,"Uncommon Criminals (Heist Society, #2) Ally Carter"
2014,Kasie West,On the Fence,4.04,https://images.gr-assets.com/books/1383229604m/18298225.jpg,On the Fence Kasie West
2015,Mark  Edwards,Follow You Home,3.86,https://images.gr-assets.com/books/1432662633m/25153134.jpg,Follow You Home Mark  Edwards
2007,Jerry Spinelli,"Love, Stargirl (Stargirl, #2)",3.8,https://images.gr-assets.com/books/1320395760m/846984.jpg,"Love, Stargirl (Stargirl, #2) Jerry Spinelli"
2007,Michelle Moran,Nefertiti,4.07,https://images.gr-assets.com/books/1320449831m/481446.jpg,Nefertiti Michelle Moran
2011,David McRaney,"You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, and 46 Other Ways You're Deluding Yourself",3.85,https://images.gr-assets.com/books/1391879112m/11709037.jpg,"You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, and 46 Other Ways You're Deluding Yourself David McRaney"
1998,Sara Donati,"Into the Wilderness (Wilderness, #1)",4.1,https://images.gr-assets.com/books/1320395200m/72854.jpg,"Into the Wilderness (Wilderness, #1) Sara Donati"
1900,"Aeschylus, Robert Fagles, William Bedell Stanford","The Oresteia  (Ορέστεια, #1-3)",3.99,https://images.gr-assets.com/books/1391822282m/1519.jpg,"The Oresteia  (Ορέστεια, #1-3) Aeschylus, Robert Fagles, William Bedell Stanford"
2013,Louise Penny,"How the Light Gets In (Chief Inspector Armand Gamache, #9)",4.41,https://images.gr-assets.com/books/1364312402m/17167084.jpg,"How the Light Gets In (Chief Inspector Armand Gamache, #9) Louise Penny"
2003,John Piper,Don't Waste Your Life,4.11,https://images.gr-assets.com/books/1369824233m/347656.jpg,Don't Waste Your Life John Piper
2006,Ildefonso Falcones,La catedral del mar,4.05,https://images.gr-assets.com/books/1366301973m/54984.jpg,La catedral del mar Ildefonso Falcones
1996,Alison Weir,The Life of Elizabeth I,4.05,https://images.gr-assets.com/books/1320433923m/111222.jpg,The Life of Elizabeth I Alison Weir
1950,The Church of Jesus Christ of Latter-day Saints,"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",4.36,https://images.gr-assets.com/books/1396619969m/747061.jpg,"Book of Mormon, Doctrine and Covenants, Pearl of Great Price The Church of Jesus Christ of Latter-day Saints"
2010,"Jon Stewart, Rory Albanese, Kevin Bleyer, Rich Bloomquist, Steve Bodow, Tim Carvell, Wyatt Cenac, Hallie Haglund, J.R. Havlan, David Javerbaum, Elliott Kalan, Josh Lieb, Sam Means, Jo Miller, John Oliver, Daniel Radosh, Jason Ross",Earth (The Book): A Visitor's Guide to the Human Race,3.91,https://images.gr-assets.com/books/1344264519m/8163722.jpg,"Earth (The Book): A Visitor's Guide to the Human Race Jon Stewart, Rory Albanese, Kevin Bleyer, Rich Bloomquist, Steve Bodow, Tim Carvell, Wyatt Cenac, Hallie Haglund, J.R. Havlan, David Javerbaum, Elliott Kalan, Josh Lieb, Sam Means, Jo Miller, John Oliver, Daniel Radosh, Jason Ross"
2009,Rachel Vincent,"My Soul to Take (Soul Screamers, #1)",3.88,https://images.gr-assets.com/books/1454287869m/6315602.jpg,"My Soul to Take (Soul Screamers, #1) Rachel Vincent"
1996,Neale Donald Walsch,"Conversations With God: An Uncommon Dialogue, Book 2",4.1,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Conversations With God: An Uncommon Dialogue, Book 2 Neale Donald Walsch"
2012,Brodi Ashton,"Everneath (Everneath, #1)",3.76,https://images.gr-assets.com/books/1340210035m/9413044.jpg,"Everneath (Everneath, #1) Brodi Ashton"
2009,Janet Evanovich,"Plum Spooky (Stephanie Plum, #14.5)",3.77,https://images.gr-assets.com/books/1320400804m/3400816.jpg,"Plum Spooky (Stephanie Plum, #14.5) Janet Evanovich"
1997,Paulo Coelho,Warrior of the Light,3.69,https://images.gr-assets.com/books/1359135200m/1426.jpg,Warrior of the Light Paulo Coelho
2007,G. Norman Lippert,"James Potter and the Hall of Elders' Crossing (James Potter, #1)",3.78,https://images.gr-assets.com/books/1497650972m/2548866.jpg,"James Potter and the Hall of Elders' Crossing (James Potter, #1) G. Norman Lippert"
2008,Jon Krakauer,Where Men Win Glory: The Odyssey of Pat Tillman,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Where Men Win Glory: The Odyssey of Pat Tillman Jon Krakauer
1964,"Brother Andrew, Elizabeth Sherrill, John Sherrill",God's Smuggler,4.32,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"God's Smuggler Brother Andrew, Elizabeth Sherrill, John Sherrill"
2011,J. Courtney Sullivan,Maine,3.34,https://images.gr-assets.com/books/1295996313m/9923372.jpg,Maine J. Courtney Sullivan
2015,Kasie West,The Fill-In Boyfriend,3.92,https://images.gr-assets.com/books/1414605032m/18660447.jpg,The Fill-In Boyfriend Kasie West
2004,Meg Rosoff,How I Live Now,3.58,https://images.gr-assets.com/books/1327870252m/161426.jpg,How I Live Now Meg Rosoff
2003,Garth Nix,"Mister Monday (The Keys to the Kingdom, #1)",3.77,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Mister Monday (The Keys to the Kingdom, #1) Garth Nix"
2011,Heather Gudenkauf,These Things Hidden,3.85,https://images.gr-assets.com/books/1296001564m/9166559.jpg,These Things Hidden Heather Gudenkauf
2000,"Dawn J. Ranck, Phyllis Pellman Good",Fix-It and Forget-It Cookbook: Feasting with Your Slow Cooker,3.85,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Fix-It and Forget-It Cookbook: Feasting with Your Slow Cooker Dawn J. Ranck, Phyllis Pellman Good"
2009,"Lili St. Crow, Lilith Saintcrow","Strange Angels (Strange Angels, #1)",3.78,https://images.gr-assets.com/books/1331244487m/6006518.jpg,"Strange Angels (Strange Angels, #1) Lili St. Crow, Lilith Saintcrow"
1999,"Malika Oufkir, Michèle Fitoussi",Stolen Lives: Twenty Years in a Desert Jail,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Stolen Lives: Twenty Years in a Desert Jail Malika Oufkir, Michèle Fitoussi"
2009,Nora Roberts,Black Hills,4.08,https://images.gr-assets.com/books/1303019108m/6013511.jpg,Black Hills Nora Roberts
2006,"Mark Millar, Steve McNiven, Dexter Vines, Morry Hollowell",Civil War: A Marvel Comics Event,4.05,https://images.gr-assets.com/books/1345813608m/91714.jpg,"Civil War: A Marvel Comics Event Mark Millar, Steve McNiven, Dexter Vines, Morry Hollowell"
2000,"Kim Carpenter, John R. Perry, Krickitt Carpenter",The Vow: The Kim & Krickitt Carpenter Story,3.77,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Vow: The Kim & Krickitt Carpenter Story Kim Carpenter, John R. Perry, Krickitt Carpenter"
1951,Robert A. Heinlein,The Puppet Masters,3.86,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,The Puppet Masters Robert A. Heinlein
2016,Megan Miranda,All the Missing Girls,3.79,https://images.gr-assets.com/books/1452098621m/23212667.jpg,All the Missing Girls Megan Miranda
1983,Mercer Mayer,Just Go to Bed,4.22,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Just Go to Bed Mercer Mayer
2016,Maria Semple,Today Will Be Different,3.19,https://images.gr-assets.com/books/1491367278m/28449270.jpg,Today Will Be Different Maria Semple
2003,"CLAMP, William Flanagan","xxxHolic, Vol. 1 (xxxHOLiC, #1)",4.17,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"xxxHolic, Vol. 1 (xxxHOLiC, #1) CLAMP, William Flanagan"
1982,"Harry Allard, James  Marshall","Miss Nelson Is Back (Miss Nelson, #2)",4.33,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Miss Nelson Is Back (Miss Nelson, #2) Harry Allard, James  Marshall"
1994,Kim Stanley Robinson,"Green Mars (Mars Trilogy, #2)",3.91,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Green Mars (Mars Trilogy, #2) Kim Stanley Robinson"
1993,Tad Williams,"To Green Angel Tower (Memory, Sorrow, and Thorn, #3)",4.16,https://images.gr-assets.com/books/1347824309m/28691.jpg,"To Green Angel Tower (Memory, Sorrow, and Thorn, #3) Tad Williams"
1887,"Oscar Wilde, Inga Moore",The Canterville Ghost,3.89,https://images.gr-assets.com/books/1363935696m/45685.jpg,"The Canterville Ghost Oscar Wilde, Inga Moore"
2014,"Bryan Lee O'Malley, Nathan Fairbairn",Seconds,4.07,https://images.gr-assets.com/books/1399502867m/18630542.jpg,"Seconds Bryan Lee O'Malley, Nathan Fairbairn"
2012,Tijan,"Fallen Crest High (Fallen Crest High, #1)",4.13,https://images.gr-assets.com/books/1355101275m/16134551.jpg,"Fallen Crest High (Fallen Crest High, #1) Tijan"
1953,Jenő Barcsay,Anatomy for the Artist,3.97,https://images.gr-assets.com/books/1328858785m/327246.jpg,Anatomy for the Artist Jenő Barcsay
1977,John Saul,Suffer the Children,3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Suffer the Children John Saul
1994,Karen Cushman,"Catherine, Called Birdy",3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Catherine, Called Birdy Karen Cushman"
1992,Jean Sasson,Princess: A True Story of Life Behind the Veil in Saudi Arabia,4,https://images.gr-assets.com/books/1377538002m/613283.jpg,Princess: A True Story of Life Behind the Veil in Saudi Arabia Jean Sasson
1986,Terry Brooks,"Magic Kingdom For Sale/Sold (Magic Kingdom of Landover, #1)",3.86,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Magic Kingdom For Sale/Sold (Magic Kingdom of Landover, #1) Terry Brooks"
1962,"Joseph Murphy, Ian McMahan",The Power of Your Subconscious Mind,4.12,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Power of Your Subconscious Mind Joseph Murphy, Ian McMahan"
2001,Anne Rice,"Blood And Gold (The Vampire Chronicles, #8)",3.88,https://images.gr-assets.com/books/1168274792m/31341.jpg,"Blood And Gold (The Vampire Chronicles, #8) Anne Rice"
2012,Rae Carson,"The Crown of Embers (Fire and Thorns, #2)",4.2,https://images.gr-assets.com/books/1335241091m/10816908.jpg,"The Crown of Embers (Fire and Thorns, #2) Rae Carson"
2000,Tamora Pierce,"Page (Protector of the Small, #2)",4.22,https://images.gr-assets.com/books/1215394280m/153785.jpg,"Page (Protector of the Small, #2) Tamora Pierce"
2014,Kiera Cass,"The Guard (The Selection, #2.5)",3.75,https://images.gr-assets.com/books/1380307008m/18170039.jpg,"The Guard (The Selection, #2.5) Kiera Cass"
1943,"Esther Forbes, Lynd Ward",Johnny Tremain,3.62,https://images.gr-assets.com/books/1308964858m/816870.jpg,"Johnny Tremain Esther Forbes, Lynd Ward"
1993,"Ernesto Che Guevara, Aleida Guevara March",The Motorcycle Diaries: Notes on a Latin American Journey,3.79,https://images.gr-assets.com/books/1354902593m/172732.jpg,"The Motorcycle Diaries: Notes on a Latin American Journey Ernesto Che Guevara, Aleida Guevara March"
2012,Kristen Proby,"Fight with Me (With Me in Seattle, #2)",4.25,https://images.gr-assets.com/books/1355896180m/16090636.jpg,"Fight with Me (With Me in Seattle, #2) Kristen Proby"
2003,Ted Dekker,"Black: The Birth of Evil (The Circle, #1)",4.21,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Black: The Birth of Evil (The Circle, #1) Ted Dekker"
2010,N.K. Jemisin,"The Hundred Thousand Kingdoms (Inheritance Trilogy, #1)",3.8,https://images.gr-assets.com/books/1303143211m/6437061.jpg,"The Hundred Thousand Kingdoms (Inheritance Trilogy, #1) N.K. Jemisin"
1995,Peggy Rathmann,Officer Buckle & Gloria,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Officer Buckle & Gloria Peggy Rathmann
1998,"Roberto Bolaño, Natasha Wimmer",The Savage Detectives,4.09,https://images.gr-assets.com/books/1342651149m/63033.jpg,"The Savage Detectives Roberto Bolaño, Natasha Wimmer"
2012,Gena Showalter,"Alice in Zombieland (White Rabbit Chronicles, #1)",4.05,https://images.gr-assets.com/books/1333628241m/11300302.jpg,"Alice in Zombieland (White Rabbit Chronicles, #1) Gena Showalter"
2009,Aprilynne Pike,"Spells (Wings, #2)",3.99,https://images.gr-assets.com/books/1328316409m/6801582.jpg,"Spells (Wings, #2) Aprilynne Pike"
1941,"Stefan Zweig, Joel Rotenberg, Hans Hausmann, Dirk Muller, Peter Gay, Willy Trenk-Trebitsch, Mario Adorf, Gert Westphal",Chess Story,4.28,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Chess Story Stefan Zweig, Joel Rotenberg, Hans Hausmann, Dirk Muller, Peter Gay, Willy Trenk-Trebitsch, Mario Adorf, Gert Westphal"
1994,"Justine Korman Fontes, Don Williams, Walt Disney Company",The Lion King: A little Golden Book,4.46,https://images.gr-assets.com/books/1320412442m/594361.jpg,"The Lion King: A little Golden Book Justine Korman Fontes, Don Williams, Walt Disney Company"
2011,Gordon Korman,"The Medusa Plot (39 Clues: Cahills vs. Vespers, #1)",4.07,https://images.gr-assets.com/books/1328836311m/11198312.jpg,"The Medusa Plot (39 Clues: Cahills vs. Vespers, #1) Gordon Korman"
2005,Jeanne Birdsall,"The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy (The Penderwicks #1)",4.12,https://images.gr-assets.com/books/1320508900m/266904.jpg,"The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy (The Penderwicks #1) Jeanne Birdsall"
2010,Nelson DeMille,"The Lion (John Corey, #5)",4.22,https://images.gr-assets.com/books/1259186800m/7164343.jpg,"The Lion (John Corey, #5) Nelson DeMille"
2001,Karen Marie Moning,"Kiss of the Highlander (Highlander, #4)",4.31,https://images.gr-assets.com/books/1400966202m/112754.jpg,"Kiss of the Highlander (Highlander, #4) Karen Marie Moning"
2012,Sally Bedell Smith,Elizabeth the Queen: The Life of a Modern Monarch,3.85,https://images.gr-assets.com/books/1324343095m/12722468.jpg,Elizabeth the Queen: The Life of a Modern Monarch Sally Bedell Smith
2014,"Jo Nesbø, Charlotte Barslund",The Son,4.07,https://images.gr-assets.com/books/1390177620m/19101283.jpg,"The Son Jo Nesbø, Charlotte Barslund"
2009,"John Layman, Rob Guillory","Chew, Vol. 1: Taster's Choice",4,https://images.gr-assets.com/books/1409985990m/6839093.jpg,"Chew, Vol. 1: Taster's Choice John Layman, Rob Guillory"
2001,Linda Sue Park,A Single Shard,3.87,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A Single Shard Linda Sue Park
1986,"Margaret Weis, Tracy Hickman","Time of the Twins (Dragonlance: Legends, #1)",4.13,https://images.gr-assets.com/books/1390667790m/29187.jpg,"Time of the Twins (Dragonlance: Legends, #1) Margaret Weis, Tracy Hickman"
2012,Christopher Moore,Sacré Bleu: A Comedy d'Art,3.77,https://images.gr-assets.com/books/1331321350m/7743117.jpg,Sacré Bleu: A Comedy d'Art Christopher Moore
1972,"Arkady Strugatsky, Boris Strugatsky, Antonina W. Bouis, Antonina W. Bouis, Theodore Sturgeon",Roadside Picnic,4.21,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Roadside Picnic Arkady Strugatsky, Boris Strugatsky, Antonina W. Bouis, Antonina W. Bouis, Theodore Sturgeon"
2008,Meg Cabot,"Queen of Babble Gets Hitched (Queen of Babble, #3)",3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Queen of Babble Gets Hitched (Queen of Babble, #3) Meg Cabot"
1853,Elizabeth Gaskell,Cranford,3.85,https://images.gr-assets.com/books/1375746052m/182381.jpg,Cranford Elizabeth Gaskell
1997,Don DeLillo,Underworld,3.92,https://images.gr-assets.com/books/1334304280m/11761.jpg,Underworld Don DeLillo
1962,"Jack Kerouac, Aram Saroyan",Big Sur,3.86,https://images.gr-assets.com/books/1428984256m/50140.jpg,"Big Sur Jack Kerouac, Aram Saroyan"
1919,P.G. Wodehouse,"My Man Jeeves (Jeeves, #1)",4.13,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"My Man Jeeves (Jeeves, #1) P.G. Wodehouse"
2010,Melissa Marr,"Radiant Shadows (Wicked Lovely, #4)",3.97,https://images.gr-assets.com/books/1258758145m/6368610.jpg,"Radiant Shadows (Wicked Lovely, #4) Melissa Marr"
2012,Kristen Ashley,"Motorcycle Man (Dream Man, #4)",4.43,https://images.gr-assets.com/books/1337615202m/13448656.jpg,"Motorcycle Man (Dream Man, #4) Kristen Ashley"
2014,Amanda Palmer,"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",3.97,https://images.gr-assets.com/books/1408547261m/20980987.jpg,"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help Amanda Palmer"
2014,Veronica Rossi,"Into the Still Blue (Under the Never Sky, #3)",4.17,https://images.gr-assets.com/books/1417467183m/14288998.jpg,"Into the Still Blue (Under the Never Sky, #3) Veronica Rossi"
2007,Ann Brashares,The Last Summer (of You and Me),3.58,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,The Last Summer (of You and Me) Ann Brashares
1997,"Garth Ennis, Steve Dillon","Preacher, Volume 2: Until the End of the World",4.28,https://images.gr-assets.com/books/1309914965m/95406.jpg,"Preacher, Volume 2: Until the End of the World Garth Ennis, Steve Dillon"
1997,"Chris   Smith, Christopher Lee, Richard Taylor",The Lord of the Rings: Weapons and Warfare,4.53,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"The Lord of the Rings: Weapons and Warfare Chris   Smith, Christopher Lee, Richard Taylor"
2003,D.J. MacHale,"The Lost City of Faar (Pendragon, #2)",4.16,https://images.gr-assets.com/books/1431400965m/215543.jpg,"The Lost City of Faar (Pendragon, #2) D.J. MacHale"
1988,Elizabeth  George,"A Great Deliverance (Inspector Lynley, #1)",4.06,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"A Great Deliverance (Inspector Lynley, #1) Elizabeth  George"
1993,"Arturo Pérez-Reverte, Sonia Soto",The Club Dumas,3.82,https://images.gr-assets.com/books/1327896341m/7194.jpg,"The Club Dumas Arturo Pérez-Reverte, Sonia Soto"
2004,Shannon Hale,"Enna Burning (The Books of Bayern, #2)",3.97,https://images.gr-assets.com/books/1388286936m/248482.jpg,"Enna Burning (The Books of Bayern, #2) Shannon Hale"
2005,Meg Cabot,"Twilight (The Mediator, #6)",4.26,https://images.gr-assets.com/books/1327959055m/93724.jpg,"Twilight (The Mediator, #6) Meg Cabot"
2014,أحمد مراد,1919,3.65,https://images.gr-assets.com/books/1396549800m/21456940.jpg,1919 أحمد مراد
1983,"Beverly Cleary, Paul O. Zelinsky","Dear Mr. Henshaw (Leigh Botts, #1)",3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Dear Mr. Henshaw (Leigh Botts, #1) Beverly Cleary, Paul O. Zelinsky"
1997,Ann Patchett,The Magician's Assistant,3.64,https://images.gr-assets.com/books/1327936126m/16055.jpg,The Magician's Assistant Ann Patchett
1991,Douglas Coupland,Generation X: Tales for an Accelerated Culture,3.73,https://images.gr-assets.com/books/1485623844m/3378.jpg,Generation X: Tales for an Accelerated Culture Douglas Coupland
2015,Viet Thanh Nguyen,The Sympathizer,4,https://images.gr-assets.com/books/1423543886m/23168277.jpg,The Sympathizer Viet Thanh Nguyen
1941,Agatha Christie,"Evil Under the Sun (Hercule Poirot, #23)",3.94,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Evil Under the Sun (Hercule Poirot, #23) Agatha Christie"
2013,Joanna Wylde,"Reaper's Property (Reapers MC, #1)",4.13,https://images.gr-assets.com/books/1360943604m/17375956.jpg,"Reaper's Property (Reapers MC, #1) Joanna Wylde"
1941,"Mary O'Hara, Dave Blossom","My Friend Flicka (Flicka, #1)",4.15,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"My Friend Flicka (Flicka, #1) Mary O'Hara, Dave Blossom"
2012,"Philippa Gregory, Mirjana Valent","The Kingmaker's Daughter (The Plantagenet and Tudor Novels, #4)",3.95,https://images.gr-assets.com/books/1332688725m/12326644.jpg,"The Kingmaker's Daughter (The Plantagenet and Tudor Novels, #4) Philippa Gregory, Mirjana Valent"
1890,"Henrik Ibsen, William Archer",Hedda Gabler,3.79,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"Hedda Gabler Henrik Ibsen, William Archer"
1940,Walt Disney Company,Dumbo: A Little Golden Book,4.29,https://images.gr-assets.com/books/1320426193m/1298205.jpg,Dumbo: A Little Golden Book Walt Disney Company
2015,Erika Johansen,"The Invasion of the Tearling (The Queen of the Tearling, #2)",4.15,https://images.gr-assets.com/books/1461864829m/22698568.jpg,"The Invasion of the Tearling (The Queen of the Tearling, #2) Erika Johansen"
2011,"Jo Nesbø, Don Bartlett","Phantom (Harry Hole, #9)",4.11,https://images.gr-assets.com/books/1333577303m/13256064.jpg,"Phantom (Harry Hole, #9) Jo Nesbø, Don Bartlett"
2011,"P.C. Cast, Kristin Cast",Marked / Betrayed / Chosen / Untamed / Hunted (House of Night #1-5),4.43,https://images.gr-assets.com/books/1347018756m/8724779.jpg,"Marked / Betrayed / Chosen / Untamed / Hunted (House of Night #1-5) P.C. Cast, Kristin Cast"
2006,Cecelia Ahern,A Place Called Here,3.66,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,A Place Called Here Cecelia Ahern
1925,W. Somerset Maugham,The Painted Veil,3.9,https://images.gr-assets.com/books/1320421719m/99664.jpg,The Painted Veil W. Somerset Maugham
2002,Anne Rice,"Blackwood Farm (The Vampire Chronicles, #9)",3.85,https://images.gr-assets.com/books/1327522790m/31337.jpg,"Blackwood Farm (The Vampire Chronicles, #9) Anne Rice"
